Sample,Treatment,Analyte,Measured,Predicted
couscous,Food,Butyrate,-0.361587017,-0.385732702
couscous,Food,total_SCFAs,-0.45285967,0.725529247
couscous,Food,total_SCFAs,-0.162544321,0.725529247
couscous,Food,total_SCFAs,0.849591734,0.725529247
infant_formula,Food,Acetate,-0.72482333,0.244559281
infant_formula,Food,Acetate,-0.067772286,0.244559281
infant_formula,Food,Acetate,-1.067468071,0.244559281
infant_formula,Food,Propionate,0.398168697,0.486809046
infant_formula,Food,Propionate,0.438284552,0.486809046
infant_formula,Food,Propionate,-2.108806047,0.486809046
infant_formula,Food,Butyrate,-0.609339767,-0.467057069
infant_formula,Food,Butyrate,-0.336001092,-0.467057069
infant_formula,Food,Butyrate,-0.620006664,-0.467057069
infant_formula,Food,total_SCFAs,-0.617074074,0.046258942
infant_formula,Food,total_SCFAs,-0.019489108,0.046258942
infant_formula,Food,total_SCFAs,-1.226228229,0.046258942
kumara_with_skin,Food,Acetate,-0.93919431,-0.995746083
kumara_with_skin,Food,Acetate,-0.63764776,-0.995746083
kumara_with_skin,Food,Acetate,-0.179683933,-0.995746083
kumara_with_skin,Food,Propionate,-1.286622941,-1.896564478
kumara_with_skin,Food,Propionate,-1.15767203,-1.896564478
kumara_with_skin,Food,Propionate,-0.633618663,-1.896564478
kumara_with_skin,Food,Butyrate,1.249314046,-0.130026796
kumara_with_skin,Food,Butyrate,5.320945294,-0.130026796
kumara_with_skin,Food,Butyrate,-0.485283128,-0.130026796
kumara_with_skin,Food,total_SCFAs,-0.937479294,-1.778614066
kumara_with_skin,Food,total_SCFAs,-0.49135998,-1.778614066
kumara_with_skin,Food,total_SCFAs,-0.255126535,-1.778614066
kumara_without_skin,Food,Acetate,-0.534574544,-1.736948327
kumara_without_skin,Food,Acetate,-1.27001554,-1.736948327
kumara_without_skin,Food,Acetate,-0.790570958,-1.736948327
kumara_without_skin,Food,Propionate,-1.10207365,0.11445761
kumara_without_skin,Food,Propionate,-1.282158732,0.11445761
kumara_without_skin,Food,Propionate,-1.139186794,0.11445761
kumara_without_skin,Food,Butyrate,-0.407226545,-0.508335496
kumara_without_skin,Food,Butyrate,-0.439832323,-0.508335496
kumara_without_skin,Food,Butyrate,-0.482423455,-0.508335496
kumara_without_skin,Food,total_SCFAs,-0.623259515,-1.58745114
kumara_without_skin,Food,total_SCFAs,-1.297633762,-1.58745114
kumara_without_skin,Food,total_SCFAs,-0.85744752,-1.58745114
pork,Food,Acetate,-0.874568853,-0.916641336
pork,Food,Acetate,-0.087678709,-0.916641336
pork,Food,Acetate,-0.670362348,-0.916641336
pork,Food,Propionate,-0.324171451,1.177606528
pork,Food,Propionate,0.668025398,1.177606528
pork,Food,Propionate,-0.920193694,1.177606528
pork,Food,Butyrate,-0.428812566,0.01442493
pork,Food,Butyrate,-0.270917465,0.01442493
pork,Food,Butyrate,-0.625256348,0.01442493
pork,Food,total_SCFAs,-0.830391062,-0.041993621
pork,Food,total_SCFAs,-0.006517434,-0.041993621
pork,Food,total_SCFAs,-0.731919005,-0.041993621
prawn,Food,Acetate,-0.631160229,-1.427920101
prawn,Food,Acetate,-0.037436333,-1.427920101
prawn,Food,Acetate,-0.676387653,-1.427920101
prawn,Food,Propionate,0.177384391,-1.720494313
prawn,Food,Propionate,0.037720595,-1.720494313
prawn,Food,Propionate,-0.17953531,-1.720494313
prawn,Food,Butyrate,-0.346559295,3.436962167
prawn,Food,Butyrate,-0.391252499,3.436962167
prawn,Food,Butyrate,-0.438809449,3.436962167
prawn,Food,total_SCFAs,-0.550493117,0.871596096
prawn,Food,total_SCFAs,-0.04363933,0.871596096
prawn,Food,total_SCFAs,-0.637713187,0.871596096
pumpkin,Food,Acetate,0.72401102,0.74130463
pumpkin,Food,Acetate,-0.183141881,0.74130463
pumpkin,Food,Acetate,-0.4064048,0.74130463
pumpkin,Food,Propionate,0.48663682,0.967740863
pumpkin,Food,Propionate,-0.480619651,0.967740863
pumpkin,Food,Propionate,-1.000335299,0.967740863
pumpkin,Food,Butyrate,-0.238623678,0.243122455
pumpkin,Food,Butyrate,-0.557743602,0.243122455
pumpkin,Food,Butyrate,-0.544784238,0.243122455
pumpkin,Food,total_SCFAs,0.691322599,1.215785175
pumpkin,Food,total_SCFAs,-0.242460586,1.215785175
pumpkin,Food,total_SCFAs,-0.502912448,1.215785175
raspberries,Food,Acetate,0.426460125,-0.334892763
raspberries,Food,Acetate,1.588855765,-0.334892763
raspberries,Food,Acetate,0.447309692,-0.334892763
raspberries,Food,Propionate,-0.116771268,-0.284334809
raspberries,Food,Propionate,0.072895464,-0.284334809
raspberries,Food,Propionate,0.383602306,-0.284334809
raspberries,Food,Butyrate,0.946691193,-0.769655424
raspberries,Food,Butyrate,1.644840016,-0.769655424
raspberries,Food,Butyrate,0.065749734,-0.769655424
raspberries,Food,total_SCFAs,0.401963273,-1.002067752
raspberries,Food,total_SCFAs,1.48222814,-1.002067752
raspberries,Food,total_SCFAs,0.446009675,-1.002067752
soybeans,Food,Acetate,-0.854874503,1.238085157
soybeans,Food,Acetate,-0.678771331,1.238085157
soybeans,Food,Acetate,0.07940584,1.238085157
soybeans,Food,Propionate,-0.064321382,0.731147087
soybeans,Food,Propionate,-0.445223601,0.731147087
soybeans,Food,Propionate,0.296182442,0.731147087
soybeans,Food,Butyrate,-0.486560918,0.210798212
soybeans,Food,Butyrate,-0.371759367,0.210798212
soybeans,Food,Butyrate,-0.262295493,0.210798212
soybeans,Food,total_SCFAs,-0.783621456,1.423179365
soybeans,Food,total_SCFAs,-0.669494365,1.423179365
soybeans,Food,total_SCFAs,0.096466346,1.423179365
strawberries,Food,Acetate,1.269984401,1.56315552
strawberries,Food,Acetate,2.230683456,1.56315552
strawberries,Food,Acetate,1.297383243,1.56315552
strawberries,Food,Propionate,1.519186039,-0.473786221
strawberries,Food,Propionate,2.202972908,-0.473786221
strawberries,Food,Propionate,1.201154197,-0.473786221
strawberries,Food,Butyrate,-0.115352229,-0.161950054
strawberries,Food,Butyrate,-0.130056834,-0.161950054
strawberries,Food,Butyrate,0.309381685,-0.161950054
strawberries,Food,total_SCFAs,1.305423437,0.741856799
strawberries,Food,total_SCFAs,2.238686547,0.741856799
strawberries,Food,total_SCFAs,1.30799223,0.741856799
yellow_peas,Food,Acetate,-0.111666141,-0.182291953
yellow_peas,Food,Acetate,-0.112958188,-0.182291953
yellow_peas,Food,Acetate,0.854554986,-0.182291953
yellow_peas,Food,Propionate,0.304111471,0.442066359
yellow_peas,Food,Propionate,0.692327402,0.442066359
yellow_peas,Food,Propionate,0.465721936,0.442066359
yellow_peas,Food,Butyrate,-0.394229268,-0.109922735
yellow_peas,Food,Butyrate,-0.190220019,-0.109922735
yellow_peas,Food,Butyrate,0.145723347,-0.109922735
yellow_peas,Food,total_SCFAs,-0.077031206,0.006714673
yellow_peas,Food,total_SCFAs,-0.022699581,0.006714673
yellow_peas,Food,total_SCFAs,0.819781171,0.006714673
formula_black_beans,Food_formula,Acetate,-0.712251453,0.474238578
formula_black_beans,Food_formula,Acetate,-0.04879311,0.474238578
formula_black_beans,Food_formula,Acetate,-0.767245733,0.474238578
formula_black_beans,Food_formula,Propionate,-0.262736706,-1.43706224
formula_black_beans,Food_formula,Propionate,0.249498288,-1.43706224
formula_black_beans,Food_formula,Propionate,-0.431620721,-1.43706224
formula_black_beans,Food_formula,Butyrate,1.282733167,-0.214516275
formula_black_beans,Food_formula,Butyrate,2.789574634,-0.214516275
formula_black_beans,Food_formula,Butyrate,2.57474188,-0.214516275
formula_black_beans,Food_formula,total_SCFAs,-0.509188549,-0.471398798
formula_black_beans,Food_formula,total_SCFAs,0.311153193,-0.471398798
formula_black_beans,Food_formula,total_SCFAs,-0.448160272,-0.471398798
formula_blackcurrants,Food_formula,Acetate,0.663615187,0.886852904
formula_blackcurrants,Food_formula,Acetate,2.227322594,0.886852904
formula_blackcurrants,Food_formula,Acetate,0.446556114,0.886852904
formula_blackcurrants,Food_formula,Propionate,1.217865505,0.081713183
formula_blackcurrants,Food_formula,Propionate,2.391369828,0.081713183
formula_blackcurrants,Food_formula,Propionate,0.097998774,0.081713183
formula_blackcurrants,Food_formula,Butyrate,-0.529984857,-0.365068106
formula_blackcurrants,Food_formula,Butyrate,-0.529984857,-0.365068106
formula_blackcurrants,Food_formula,Butyrate,-0.529984857,-0.365068106
formula_blackcurrants,Food_formula,total_SCFAs,0.692636762,0.680103626
formula_blackcurrants,Food_formula,total_SCFAs,2.239840518,0.680103626
formula_blackcurrants,Food_formula,total_SCFAs,0.278655592,0.680103626
formula_chickpeas,Food_formula,Acetate,1.096725237,0.368993845
formula_chickpeas,Food_formula,Acetate,-0.08010514,0.368993845
formula_chickpeas,Food_formula,Acetate,-0.569406064,0.368993845
formula_chickpeas,Food_formula,Propionate,1.306203802,0.457538703
formula_chickpeas,Food_formula,Propionate,0.10014439,0.457538703
formula_chickpeas,Food_formula,Propionate,-0.709818637,0.457538703
formula_chickpeas,Food_formula,Butyrate,-0.529984857,-0.475185521
formula_chickpeas,Food_formula,Butyrate,-0.529984857,-0.475185521
formula_chickpeas,Food_formula,Butyrate,-0.529984857,-0.475185521
formula_chickpeas,Food_formula,total_SCFAs,1.129442749,0.228814269
formula_chickpeas,Food_formula,total_SCFAs,-0.149493719,0.228814269
formula_chickpeas,Food_formula,total_SCFAs,-0.65093206,0.228814269
formula_couscous,Food_formula,Acetate,-0.353329319,0.321229143
formula_couscous,Food_formula,Acetate,-0.793045914,0.321229143
formula_couscous,Food_formula,Acetate,0.003091593,0.321229143
formula_couscous,Food_formula,Propionate,-0.804433069,0.360531426
formula_couscous,Food_formula,Propionate,-0.612627952,0.360531426
formula_couscous,Food_formula,Propionate,-0.151959173,0.360531426
formula_couscous,Food_formula,Butyrate,-0.529984857,-0.565923347
formula_couscous,Food_formula,Butyrate,-0.529984857,-0.565923347
formula_couscous,Food_formula,Butyrate,-0.529984857,-0.565923347
formula_couscous,Food_formula,total_SCFAs,-0.478944969,0.042653636
formula_couscous,Food_formula,total_SCFAs,-0.87666238,0.042653636
formula_couscous,Food_formula,total_SCFAs,-0.098825036,0.042653636
formula_kumara_with_skin,Food_formula,Acetate,-1.460632816,-1.503741843
formula_kumara_with_skin,Food_formula,Acetate,-0.278225265,-1.503741843
formula_kumara_with_skin,Food_formula,Acetate,-0.228422817,-1.503741843
formula_kumara_with_skin,Food_formula,Propionate,-1.622222189,0.877828154
formula_kumara_with_skin,Food_formula,Propionate,0.426980802,0.877828154
formula_kumara_with_skin,Food_formula,Propionate,0.060231129,0.877828154
formula_kumara_with_skin,Food_formula,Butyrate,-0.529984857,0.517247357
formula_kumara_with_skin,Food_formula,Butyrate,-0.529984857,0.517247357
formula_kumara_with_skin,Food_formula,Butyrate,-0.129194991,0.517247357
formula_kumara_with_skin,Food_formula,total_SCFAs,-1.575809415,-0.682472793
formula_kumara_with_skin,Food_formula,total_SCFAs,-0.254909999,-0.682472793
formula_kumara_with_skin,Food_formula,total_SCFAs,-0.185019662,-0.682472793
formula_kumara_without_skin,Food_formula,Acetate,1.595537054,0.395959286
formula_kumara_without_skin,Food_formula,Acetate,0.070638723,0.395959286
formula_kumara_without_skin,Food_formula,Acetate,0.904045939,0.395959286
formula_kumara_without_skin,Food_formula,Propionate,1.138785408,0.363316567
formula_kumara_without_skin,Food_formula,Propionate,0.723336844,0.363316567
formula_kumara_without_skin,Food_formula,Propionate,-0.940710709,0.363316567
formula_kumara_without_skin,Food_formula,Butyrate,-0.504394699,-0.418916852
formula_kumara_without_skin,Food_formula,Butyrate,-0.529984857,-0.418916852
formula_kumara_without_skin,Food_formula,Butyrate,-0.529984857,-0.418916852
formula_kumara_without_skin,Food_formula,total_SCFAs,1.53761876,0.256112943
formula_kumara_without_skin,Food_formula,total_SCFAs,0.08891418,0.256112943
formula_kumara_without_skin,Food_formula,total_SCFAs,0.535329181,0.256112943
formula_pork,Food_formula,Acetate,-1.321492824,-1.907386163
formula_pork,Food_formula,Acetate,-0.042304656,-1.907386163
formula_pork,Food_formula,Acetate,-0.84807497,-1.907386163
formula_pork,Food_formula,Propionate,-0.49200243,-2.300832508
formula_pork,Food_formula,Propionate,0.968137698,-2.300832508
formula_pork,Food_formula,Propionate,-0.003318304,-2.300832508
formula_pork,Food_formula,Butyrate,-0.529984857,0.324997457
formula_pork,Food_formula,Butyrate,2.040829027,0.324997457
formula_pork,Food_formula,Butyrate,-0.368095362,0.324997457
formula_pork,Food_formula,total_SCFAs,-1.268004712,-3.046565554
formula_pork,Food_formula,total_SCFAs,0.35644056,-3.046565554
formula_pork,Food_formula,total_SCFAs,-0.758915538,-3.046565554
formula_prawn,Food_formula,Acetate,-0.116772953,-1.909895081
formula_prawn,Food_formula,Acetate,-1.56049071,-1.909895081
formula_prawn,Food_formula,Acetate,-0.320149548,-1.909895081
formula_prawn,Food_formula,Propionate,0.031927805,-1.187745933
formula_prawn,Food_formula,Propionate,-1.280982218,-1.187745933
formula_prawn,Food_formula,Propionate,-0.434537296,-1.187745933
formula_prawn,Food_formula,Butyrate,-0.121119517,3.213120384
formula_prawn,Food_formula,Butyrate,-0.529984857,3.213120384
formula_prawn,Food_formula,Butyrate,0.448726108,3.213120384
formula_prawn,Food_formula,total_SCFAs,-0.091891468,0.139221428
formula_prawn,Food_formula,total_SCFAs,-1.606072685,0.139221428
formula_prawn,Food_formula,total_SCFAs,-0.285368657,0.139221428
formula_pumpkin,Food_formula,Acetate,0.159240449,0.444325355
formula_pumpkin,Food_formula,Acetate,1.260710645,0.444325355
formula_pumpkin,Food_formula,Acetate,1.265846676,0.444325355
formula_pumpkin,Food_formula,Propionate,-0.606669763,1.099656559
formula_pumpkin,Food_formula,Propionate,1.046492023,1.099656559
formula_pumpkin,Food_formula,Propionate,1.334381853,1.099656559
formula_pumpkin,Food_formula,Butyrate,-0.529984857,-0.845575707
formula_pumpkin,Food_formula,Butyrate,-0.529984857,-0.845575707
formula_pumpkin,Food_formula,Butyrate,-0.529984857,-0.845575707
formula_pumpkin,Food_formula,total_SCFAs,-0.049554468,0.334984689
formula_pumpkin,Food_formula,total_SCFAs,1.228881415,0.334984689
formula_pumpkin,Food_formula,total_SCFAs,1.216057206,0.334984689
formula_raspberries,Food_formula,Acetate,-0.326001395,0.407008857
formula_raspberries,Food_formula,Acetate,2.171537095,0.407008857
formula_raspberries,Food_formula,Acetate,0.779844462,0.407008857
formula_raspberries,Food_formula,Propionate,-0.307927474,0.272943564
formula_raspberries,Food_formula,Propionate,0.415996223,0.272943564
formula_raspberries,Food_formula,Propionate,0.269443606,0.272943564
formula_raspberries,Food_formula,Butyrate,-0.529984857,-0.521593844
formula_raspberries,Food_formula,Butyrate,2.723986284,-0.521593844
formula_raspberries,Food_formula,Butyrate,-0.529984857,-0.521593844
formula_raspberries,Food_formula,total_SCFAs,-0.373074799,0.126662063
formula_raspberries,Food_formula,total_SCFAs,2.259875834,0.126662063
formula_raspberries,Food_formula,total_SCFAs,0.682750578,0.126662063
formula_soybeans,Food_formula,Acetate,-1.434263719,0.706061048
formula_soybeans,Food_formula,Acetate,-0.805997278,0.706061048
formula_soybeans,Food_formula,Acetate,-1.555557428,0.706061048
formula_soybeans,Food_formula,Propionate,-0.647793395,0.037737431
formula_soybeans,Food_formula,Propionate,-0.932268824,0.037737431
formula_soybeans,Food_formula,Propionate,-2.01521652,0.037737431
formula_soybeans,Food_formula,Butyrate,-0.529984857,-0.168433613
formula_soybeans,Food_formula,Butyrate,-0.175079266,-0.168433613
formula_soybeans,Food_formula,Butyrate,1.172776855,-0.168433613
formula_soybeans,Food_formula,total_SCFAs,-1.391707244,0.635278047
formula_soybeans,Food_formula,total_SCFAs,-0.855629847,0.635278047
formula_soybeans,Food_formula,total_SCFAs,-1.543064719,0.635278047
formula_strawberries,Food_formula,Acetate,0.546707655,1.056550694
formula_strawberries,Food_formula,Acetate,1.633238559,1.056550694
formula_strawberries,Food_formula,Acetate,0.904095511,1.056550694
formula_strawberries,Food_formula,Propionate,0.833248056,0.073967206
formula_strawberries,Food_formula,Propionate,1.922233086,0.073967206
formula_strawberries,Food_formula,Propionate,1.289963764,0.073967206
formula_strawberries,Food_formula,Butyrate,-0.529984857,0.128118403
formula_strawberries,Food_formula,Butyrate,-0.529984857,0.128118403
formula_strawberries,Food_formula,Butyrate,-0.529984857,0.128118403
formula_strawberries,Food_formula,total_SCFAs,0.555369699,1.299070602
formula_strawberries,Food_formula,total_SCFAs,1.697259163,1.299070602
formula_strawberries,Food_formula,total_SCFAs,0.904881325,1.299070602
formula_yellow_peas,Food_formula,Acetate,-1.141637895,0.259803376
formula_yellow_peas,Food_formula,Acetate,-0.344275889,0.259803376
formula_yellow_peas,Food_formula,Acetate,-0.620276595,0.259803376
formula_yellow_peas,Food_formula,Propionate,-1.56915851,1.300407888
formula_yellow_peas,Food_formula,Propionate,-0.662485317,1.300407888
formula_yellow_peas,Food_formula,Propionate,-1.33574968,1.300407888
formula_yellow_peas,Food_formula,Butyrate,-0.529984857,-0.608270336
formula_yellow_peas,Food_formula,Butyrate,-0.004968515,-0.608270336
formula_yellow_peas,Food_formula,Butyrate,1.519105828,-0.608270336
formula_yellow_peas,Food_formula,total_SCFAs,-1.290017963,0.457535842
formula_yellow_peas,Food_formula,total_SCFAs,-0.392041359,0.457535842
formula_yellow_peas,Food_formula,total_SCFAs,-0.581817194,0.457535842
black_beans_blackcurrants,Food_food,Acetate,1.034315466,-1.473428212
black_beans_blackcurrants,Food_food,Acetate,0.087804119,-1.473428212
black_beans_blackcurrants,Food_food,Acetate,-0.932360658,-1.473428212
black_beans_blackcurrants,Food_food,Propionate,0.260420018,0.321504522
black_beans_blackcurrants,Food_food,Propionate,0.015401602,0.321504522
black_beans_blackcurrants,Food_food,Propionate,-0.734747885,0.321504522
black_beans_blackcurrants,Food_food,Butyrate,1.583758873,-0.424467065
black_beans_blackcurrants,Food_food,Butyrate,3.413561663,-0.424467065
black_beans_blackcurrants,Food_food,Butyrate,1.330883576,-0.424467065
black_beans_blackcurrants,Food_food,total_SCFAs,1.057996687,-1.395745588
black_beans_blackcurrants,Food_food,total_SCFAs,0.246792137,-1.395745588
black_beans_blackcurrants,Food_food,total_SCFAs,-0.877041061,-1.395745588
black_beans_pumpkin,Food_food,Acetate,-1.093384475,-0.084441813
black_beans_pumpkin,Food_food,Acetate,-0.544480622,-0.084441813
black_beans_pumpkin,Food_food,Acetate,0.292209079,-0.084441813
black_beans_pumpkin,Food_food,Propionate,-0.458674762,0.300562431
black_beans_pumpkin,Food_food,Propionate,-1.13988635,0.300562431
black_beans_pumpkin,Food_food,Propionate,-0.575273091,0.300562431
black_beans_pumpkin,Food_food,Butyrate,-0.833704257,-0.19051488
black_beans_pumpkin,Food_food,Butyrate,-0.667726435,-0.19051488
black_beans_pumpkin,Food_food,Butyrate,-0.671417257,-0.19051488
black_beans_pumpkin,Food_food,total_SCFAs,-1.098416589,-0.067041865
black_beans_pumpkin,Food_food,total_SCFAs,-0.661388843,-0.067041865
black_beans_pumpkin,Food_food,total_SCFAs,0.172343106,-0.067041865
blackcurrants_kumara_with_skin,Food_food,Acetate,-0.835653817,0.60462838
blackcurrants_kumara_with_skin,Food_food,Acetate,-0.041849998,0.60462838
blackcurrants_kumara_with_skin,Food_food,Acetate,-0.271843778,0.60462838
blackcurrants_kumara_with_skin,Food_food,Propionate,-0.775100855,-2.227000823
blackcurrants_kumara_with_skin,Food_food,Propionate,-0.331588381,-2.227000823
blackcurrants_kumara_with_skin,Food_food,Propionate,-1.364417979,-2.227000823
blackcurrants_kumara_with_skin,Food_food,Butyrate,-0.40973933,-0.237975635
blackcurrants_kumara_with_skin,Food_food,Butyrate,-0.781353777,-0.237975635
blackcurrants_kumara_with_skin,Food_food,Butyrate,-0.719915504,-0.237975635
blackcurrants_kumara_with_skin,Food_food,total_SCFAs,-0.87619468,-1.045864194
blackcurrants_kumara_with_skin,Food_food,total_SCFAs,-0.113238999,-1.045864194
blackcurrants_kumara_with_skin,Food_food,total_SCFAs,-0.438017674,-1.045864194
blackcurrants_kumara_without_skin,Food_food,Acetate,0.066064378,-1.937495918
blackcurrants_kumara_without_skin,Food_food,Acetate,-0.116095267,-1.937495918
blackcurrants_kumara_without_skin,Food_food,Acetate,1.519818737,-1.937495918
blackcurrants_kumara_without_skin,Food_food,Propionate,0.484122149,0.096823413
blackcurrants_kumara_without_skin,Food_food,Propionate,0.08962833,0.096823413
blackcurrants_kumara_without_skin,Food_food,Propionate,1.286020879,0.096823413
blackcurrants_kumara_without_skin,Food_food,Butyrate,1.942148254,-0.126495785
blackcurrants_kumara_without_skin,Food_food,Butyrate,0.469244373,-0.126495785
blackcurrants_kumara_without_skin,Food_food,Butyrate,0.266419876,-0.126495785
blackcurrants_kumara_without_skin,Food_food,total_SCFAs,0.208637124,-1.628653461
blackcurrants_kumara_without_skin,Food_food,total_SCFAs,-0.07421162,-1.628653461
blackcurrants_kumara_without_skin,Food_food,total_SCFAs,1.556891131,-1.628653461
blackcurrants_pork,Food_food,Acetate,0.547720029,0.278539682
blackcurrants_pork,Food_food,Acetate,-0.17760838,0.278539682
blackcurrants_pork,Food_food,Acetate,0.278396055,0.278539682
blackcurrants_pork,Food_food,Propionate,0.218529537,-0.011777989
blackcurrants_pork,Food_food,Propionate,0.495692412,-0.011777989
blackcurrants_pork,Food_food,Propionate,1.434848203,-0.011777989
blackcurrants_pork,Food_food,Butyrate,-0.070969021,-0.35491217
blackcurrants_pork,Food_food,Butyrate,0.224691264,-0.35491217
blackcurrants_pork,Food_food,Butyrate,-0.706880978,-0.35491217
blackcurrants_pork,Food_food,total_SCFAs,0.525615629,-0.109643989
blackcurrants_pork,Food_food,total_SCFAs,-0.097043055,-0.109643989
blackcurrants_pork,Food_food,total_SCFAs,0.383529229,-0.109643989
blackcurrants_soybeans,Food_food,Acetate,0.42354203,1.655262002
blackcurrants_soybeans,Food_food,Acetate,-0.77892169,1.655262002
blackcurrants_soybeans,Food_food,Acetate,0.424514092,1.655262002
blackcurrants_soybeans,Food_food,Propionate,0.541489477,0.842771451
blackcurrants_soybeans,Food_food,Propionate,0.030138782,0.842771451
blackcurrants_soybeans,Food_food,Propionate,-0.37674916,0.842771451
blackcurrants_soybeans,Food_food,Butyrate,-0.021478882,-0.625667193
blackcurrants_soybeans,Food_food,Butyrate,-0.847392758,-0.625667193
blackcurrants_soybeans,Food_food,Butyrate,-0.823144657,-0.625667193
blackcurrants_soybeans,Food_food,total_SCFAs,0.44988331,1.25946993
blackcurrants_soybeans,Food_food,total_SCFAs,-0.754610889,1.25946993
blackcurrants_soybeans,Food_food,total_SCFAs,0.309174869,1.25946993
blackcurrants_strawberries,Food_food,Acetate,0.571322909,-0.052260273
blackcurrants_strawberries,Food_food,Acetate,1.267252309,-0.052260273
blackcurrants_strawberries,Food_food,Acetate,2.372418317,-0.052260273
blackcurrants_strawberries,Food_food,Propionate,0.617302424,-1.940948387
blackcurrants_strawberries,Food_food,Propionate,2.667782392,-1.940948387
blackcurrants_strawberries,Food_food,Propionate,0.464020657,-1.940948387
blackcurrants_strawberries,Food_food,Butyrate,-0.548305672,3.390725437
blackcurrants_strawberries,Food_food,Butyrate,-0.434978811,3.390725437
blackcurrants_strawberries,Food_food,Butyrate,0.106806999,3.390725437
blackcurrants_strawberries,Food_food,total_SCFAs,0.569160565,1.947086553
blackcurrants_strawberries,Food_food,total_SCFAs,1.445657891,1.947086553
blackcurrants_strawberries,Food_food,total_SCFAs,2.242147907,1.947086553
chickpeas_pork,Food_food,Acetate,-0.977740254,0.01246768
chickpeas_pork,Food_food,Acetate,-2.336625793,0.01246768
chickpeas_pork,Food_food,Acetate,0.143750292,0.01246768
chickpeas_pork,Food_food,Propionate,-1.260751424,1.092551177
chickpeas_pork,Food_food,Propionate,-2.013972961,1.092551177
chickpeas_pork,Food_food,Propionate,0.568772495,1.092551177
chickpeas_pork,Food_food,Butyrate,-0.122454844,-0.666484896
chickpeas_pork,Food_food,Butyrate,-0.502006497,-0.666484896
chickpeas_pork,Food_food,Butyrate,1.690375431,-0.666484896
chickpeas_pork,Food_food,total_SCFAs,-1.047743756,0.039026104
chickpeas_pork,Food_food,total_SCFAs,-2.401979543,0.039026104
chickpeas_pork,Food_food,total_SCFAs,0.277577238,0.039026104
chickpeas_yellow_peas,Food_food,Acetate,0.734665872,1.280796305
chickpeas_yellow_peas,Food_food,Acetate,-0.826157506,1.280796305
chickpeas_yellow_peas,Food_food,Acetate,-0.613834963,1.280796305
chickpeas_yellow_peas,Food_food,Propionate,2.142071849,0.295244724
chickpeas_yellow_peas,Food_food,Propionate,-0.275457886,0.295244724
chickpeas_yellow_peas,Food_food,Propionate,-1.123293602,0.295244724
chickpeas_yellow_peas,Food_food,Butyrate,-0.506592315,-0.121687088
chickpeas_yellow_peas,Food_food,Butyrate,-1.04807938,-0.121687088
chickpeas_yellow_peas,Food_food,Butyrate,-0.77771037,-0.121687088
chickpeas_yellow_peas,Food_food,total_SCFAs,0.892731717,1.098949981
chickpeas_yellow_peas,Food_food,total_SCFAs,-0.845368335,1.098949981
chickpeas_yellow_peas,Food_food,total_SCFAs,-0.728685258,1.098949981
couscous_pork,Food_food,Acetate,-2.031302173,-1.277431673
couscous_pork,Food_food,Acetate,-1.063796849,-1.277431673
