Sample,old ID,Composition,Description,Time,Category
F5,F5,Chickpea_and_formula,Chickpea_and_formula,24,food_and_formula
B8,B8,Chickpea_and_Pork,Chickpea_and_Pork,24,food_and_food
F6,F6,Chickpea_and_Pork,Chickpea_and_Pork,24,food_and_food
I5,I5,Chickpea_and_Pork,Chickpea_and_Pork,24,food_and_food
D7,D7,Chickpea_and_Pork_and_formula,Chickpea_and_Pork_and_formula,24,food_and_food_and_formula
G7,G7,Chickpea_and_Pork_and_formula,Chickpea_and_Pork_and_formula,24,food_and_food_and_formula
K5,K5,Chickpea_and_Pork_and_formula,Chickpea_and_Pork_and_formula,24,food_and_food_and_formula
B9,B9,Chickpea_and_Yellow_peas,Chickpea_and_Yellow_peas,24,food_and_food
C8,C8,Chickpea_and_Yellow_peas,Chickpea_and_Yellow_peas,24,food_and_food
G8,G8,Chickpea_and_Yellow_peas,Chickpea_and_Yellow_peas,24,food_and_food
D8,D8,Chickpea_and_Yellow_peas_and_formula,Chickpea_and_Yellow_peas_and_formula,24,food_and_food_and_formula
E6,E6,Chickpea_and_Yellow_peas_and_formula,Chickpea_and_Yellow_peas_and_formula,24,food_and_food_and_formula
G9,G9,Chickpea_and_Yellow_peas_and_formula,Chickpea_and_Yellow_peas_and_formula,24,food_and_food_and_formula
G10,G10,Couscous,Couscous,24,food_alone
H4,H4,Couscous,Couscous,24,food_alone
J8,J8,Couscous,Couscous,24,food_alone
C9,C9,Couscous_and_formula,Couscous_and_formula,24,food_and_formula
E7,E7,Couscous_and_formula,Couscous_and_formula,24,food_and_formula
J9,J9,Couscous_and_formula,Couscous_and_formula,24,food_and_formula
E8,E8,Couscous_and_Pork,Couscous_and_Pork,24,food_and_food
F7,F7,Couscous_and_Pork,Couscous_and_Pork,24,food_and_food
C10,C10,Couscous_and_Pork,Couscous_and_Pork,24,food_and_food
F8,F8,Couscous_and_Pork_and_formula,Couscous_and_Pork_and_formula,24,food_and_food_and_formula
I6,I6,Couscous_and_Pork_and_formula,Couscous_and_Pork_and_formula,24,food_and_food_and_formula
K6,K6,Couscous_and_Pork_and_formula,Couscous_and_Pork_and_formula,24,food_and_food_and_formula
A7,A7,Couscous_and_Pumpkin,Couscous_and_Pumpkin,24,food_and_food
F9,F9,Couscous_and_Pumpkin,Couscous_and_Pumpkin,24,food_and_food
H5,H5,Couscous_and_Pumpkin,Couscous_and_Pumpkin,24,food_and_food
F10,F10,Couscous_and_Pumpkin_and_formula,Couscous_and_Pumpkin_and_formula,24,food_and_food_and_formula
I7,I7,Couscous_and_Pumpkin_and_formula,Couscous_and_Pumpkin_and_formula,24,food_and_food_and_formula
J10,J10,Couscous_and_Pumpkin_and_formula,Couscous_and_Pumpkin_and_formula,24,food_and_food_and_formula
A8,A8,Infant_formula,Infant_formula,24,food_alone
H6,H6,Infant_formula,Infant_formula,24,food_alone
I8,I8,Infant_formula,Infant_formula,24,food_alone
F11,F11,Pork,Pork,24,food_alone
H7,H7,Pork,Pork,24,food_alone
I9,I9,Pork,Pork,24,food_alone
A9,A9,Pork_and_formula,Pork_and_formula,24,food_and_formula
B10,B10,Pork_and_formula,Pork_and_formula,24,food_and_formula
E9,E9,Pork_and_formula,Pork_and_formula,24,food_and_formula
C11,C11,Pork_and_Raspberries,Pork_and_Raspberries,24,food_and_food
I10,I10,Pork_and_Raspberries,Pork_and_Raspberries,24,food_and_food
J11,J11,Pork_and_Raspberries,Pork_and_Raspberries,24,food_and_food
G11,G11,Pork_and_Raspberries_and_formula,Pork_and_Raspberries_and_formula,24,food_and_food_and_formula
H8,H8,Pork_and_Raspberries_and_formula,Pork_and_Raspberries_and_formula,24,food_and_food_and_formula
J12,J12,Pork_and_Raspberries_and_formula,Pork_and_Raspberries_and_formula,24,food_and_food_and_formula
F12,F12,Pumpkin,Pumpkin,24,food_alone
G12,G12,Pumpkin,Pumpkin,24,food_alone
K7,K7,Pumpkin,Pumpkin,24,food_alone
H9,H9,Pumpkin_and_formula,Pumpkin_and_formula,24,food_and_formula
J13,J13,Pumpkin_and_formula,Pumpkin_and_formula,24,food_and_formula
K8,K8,Pumpkin_and_formula,Pumpkin_and_formula,24,food_and_formula
B11,B11,Pumpkin_and_Yellow_peas,Pumpkin_and_Yellow_peas,24,food_and_food
D9,D9,Pumpkin_and_Yellow_peas,Pumpkin_and_Yellow_peas,24,food_and_food
I11,I11,Pumpkin_and_Yellow_peas,Pumpkin_and_Yellow_peas,24,food_and_food
A10,A10,Pumpkin_and_Yellow_peas_and_formula,Pumpkin_and_Yellow_peas_and_formula,24,food_and_food_and_formula
D10,D10,Pumpkin_and_Yellow_peas_and_formula,Pumpkin_and_Yellow_peas_and_formula,24,food_and_food_and_formula
E10,E10,Pumpkin_and_Yellow_peas_and_formula,Pumpkin_and_Yellow_peas_and_formula,24,food_and_food_and_formula
B12,B12,Raspberries,Raspberries,24,food_alone
C12,C12,Raspberries,Raspberries,24,food_alone
H10,H10,Raspberries,Raspberries,24,food_alone
A11,A11,Raspberries_and_formula,Raspberries_and_formula,24,food_and_formula
C13,C13,Raspberries_and_formula,Raspberries_and_formula,24,food_and_formula
J14,J14,Raspberries_and_formula,Raspberries_and_formula,24,food_and_formula
C14,C14,Prawn,Prawn,24,food_alone
D11,D11,Prawn,Prawn,24,food_alone
G13,G13,Prawn,Prawn,24,food_alone
A12,A12,Prawn_and_formula,Prawn_and_formula,24,food_and_formula
D12,D12,Prawn_and_formula,Prawn_and_formula,24,food_and_formula
F13,F13,Prawn_and_formula,Prawn_and_formula,24,food_and_formula
A13,A13,Soybean,Soybean,24,food_alone
H11,H11,Soybean,Soybean,24,food_alone
I12,I12,Soybean,Soybean,24,food_alone
A14,A14,Soybean_and_formula,Soybean_and_formula,24,food_and_formula
B13,B13,Soybean_and_formula,Soybean_and_formula,24,food_and_formula
E11,E11,Soybean_and_formula,Soybean_and_formula,24,food_and_formula
B14,B14,Yellow_peas,Yellow_peas,24,food_alone
D13,D13,Yellow_peas,Yellow_peas,24,food_alone
H12,H12,Yellow_peas,Yellow_peas,24,food_alone
E12,E12,Yellow_peas_and_formula,Yellow_peas_and_formula,24,food_and_formula
H13,H13,Yellow_peas_and_formula,Yellow_peas_and_formula,24,food_and_formula
I13,I13,Yellow_peas_and_formula,Yellow_peas_and_formula,24,food_and_formula
B15,B15,Strawberries,Strawberries,24,food_alone
H14,H14,Strawberries,Strawberries,24,food_alone
K9,K9,Strawberries,Strawberries,24,food_alone
E13,E13,Strawberries_and_formula,Strawberries_and_formula,24,food_and_formula
G14,G14,Strawberries_and_formula,Strawberries_and_formula,24,food_and_formula
H15,H15,Strawberries_and_formula,Strawberries_and_formula,24,food_and_formula
D14,D14,Kumara_peeled,Kumara_peeled,24,food_alone
F14,F14,Kumara_peeled,Kumara_peeled,24,food_alone
I14,I14,Kumara_peeled,Kumara_peeled,24,food_alone
D15,D15,Kumara_peeled_and_formula,Kumara_peeled_and_formula,24,food_and_formula
I15,I15,Kumara_peeled_and_formula,Kumara_peeled_and_formula,24,food_and_formula
J15,J15,Kumara_peeled_and_formula,Kumara_peeled_and_formula,24,food_and_formula
A15,A15,Kumara_with_skin,Kumara_with_skin,24,food_alone
E14,E14,Kumara_with_skin,Kumara_with_skin,24,food_alone
G15,G15,Kumara_with_skin,Kumara_with_skin,24,food_alone
C15,C15,Kumara_with_skin_and_formula,Kumara_with_skin_and_formula,24,food_and_formula
E15,E15,Kumara_with_skin_and_formula,Kumara_with_skin_and_formula,24,food_and_formula
F15,F15,Kumara_with_skin_and_formula,Kumara_with_skin_and_formula,24,food_and_formula
